puma5,NAME,no_vehicle_share
4805913,"San Antonio (Northeast), Kirby & Windcrest Cities PUMA; Texas",0.05582686967346548
4805914,"Bexar County (Northwest)--San Antonio (Far Northwest) & Helotes Cities PUMA, Texas",0.01404489679762961
4805915,"Bexar County (North)--San Antonio City (Far North) & Timberwood Park PUMA, Texas",0.026219015246387183
4805916,"Bexar County (Northeast)--San Antonio (Northeast), Universal City & Converse Cities PUMA; Texas",0.02318526064041809
4806000,"Alamo Area COG (Northwest) & Blanco County PUMA, Texas",0.03377915903583255
4806100,"Alamo Area COG (Southwest) PUMA, Texas",0.04492468893254748
4806200,"Middle Rio Grande Development Council PUMA, Texas",0.06236982618245162
4806301,"South Texas Development Council (North)--Webb County--Laredo City (Central) PUMA, Texas",0.09705211812735273
4806302,"South Texas Development Council--Webb County (North & East)--Laredo City (Outer) PUMA, Texas",0.021540860075354034
4806400,"South Texas Development Council (South) & Coastal Bend COG (West) PUMA, Texas",0.09620730421446146
4806500,"Coastal Bend COG (Northeast) PUMA, Texas",0.061028790103679974
4806601,"Coastal Bend COG--Nueces County--Corpus Christi City (Outer) PUMA, Texas",0.05787928221859706
4806602,"Coastal Bend COG--Nueces County (Central)--Corpus Christi City (North Central) PUMA, Texas",0.10879943715764612
4806603,"Coastal Bend COG--Nueces County (Central)--Corpus Christi City (South Central) PUMA, Texas",0.042770920312216375
4806701,"Cameron County (East)--Brownsville City (North) PUMA, Texas",0.044911662722219164
4806702,"Cameron County (West)--Harlingen & San Benito Cities PUMA, Texas",0.06293920575257395
4806703,"Cameron County (South)--Brownsville City (Central) PUMA, Texas",0.09392042914617792
4806801,"Hidalgo County (Southeast)--Weslaco & Mercedes Cities PUMA, Texas",0.08132838495008958
4806802,"Hidalgo County (East)--Alamo & Donna Cities PUMA, Texas",0.04808854990233467
4806803,"Hidalgo County (South Central)--Pharr, San Juan & Hidalgo Cities PUMA; Texas",0.06220519636202538
4806804,"Hidalgo County (North Central)--Edinburg City PUMA, Texas",0.04715137545723305
4806805,"Hidalgo County (Central)--McAllen City PUMA, Texas",0.0603690419601573
4806806,"Hidalgo County (Southwest)--Mission City PUMA, Texas",0.060366689013903865
4806807,"Hidalgo County (North & West) PUMA, Texas",0.06579526599166977
4806900,"Coastal Bend COG (Southeast) & Willacy County PUMA, Texas",0.06749589007103197
